country,k_thr,tau,total_segments,rf_deprived_segments,mn_deprived_segments,rf_deprived_pop,mn_deprived_pop,total_pop
malawi,3,0.1,1727,972,883,1353082.9660366122,1474508.087892175,2369040.752047225
mali,3,0.1,5920,1871,896,1607600.8857251909,1097669.769958597,5960716.49871718
mauritania,3,0.1,1828,566,117,502698.12127523404,145449.24805299198,1706446.892726493
mauritius,3,0.1,447,2,189,1277.671871593,199037.31774628104,561324.3734052279
mozambique,3,0.1,6041,2735,1880,3571108.1722807838,3159482.494048548,7310755.477268714
namibia,3,0.1,347,197,140,240510.651151803,196308.875416252,405575.736074747
niger,3,0.1,4747,3063,995,2531256.9318163916,1193896.265254836,4622590.486370739
nigeria,3,0.1,64327,10458,24791,12419246.35713979,45277326.12192444,91597687.98445147
republic_of_congo,3,0.1,3955,2916,133,2402355.444241871,404239.050479827,4109466.966085707
rwanda,3,0.1,1270,334,633,478248.34593383403,1006245.772471651,1649343.029407573
senegal,3,0.1,8269,2899,693,2484589.811036333,748223.499683667,8346712.434245584
sierra_leone,3,0.1,1334,345,630,913219.462735249,2251029.263321614,3190790.4146762565
somalia,3,0.1,7648,5285,686,5402030.855397178,1535629.238448806,8295293.609712728
south_africa,3,0.1,27136,12318,6896,12148012.599995438,8020945.618466723,30289706.70029247
south_sudan,3,0.1,833,499,244,569345.035959706,382822.43871336296,984642.965601156
sudan,3,0.1,16340,10460,2269,8821698.496891912,2506153.265683907,15147905.022114929
tanzania,3,0.1,9739,3481,4247,6658691.269839512,7950595.04137702,14983633.215272397
togo,3,0.1,3041,645,827,621007.888738542,1075700.06117343,3367055.130280057
uganda,3,0.1,4645,1612,3004,2156964.525660353,4418927.236497022,6399543.600518564
zambia,3,0.1,6357,1677,1976,1833037.626412265,3011663.153056935,7472185.76578634
zimbabwe,3,0.1,2768,282,879,260893.761653757,1028197.197665766,3101648.1956995917
angola,3,0.2,16222,7429,5404,9490744.786406256,8540056.514230523,20650829.648216836
cameroon,3,0.2,10141,3222,3132,4300646.212809186,5108608.269808377,15198621.01101642
benin,3,0.2,4612,498,861,398578.99227366,874285.830351422,4673285.7469121665
burkina_faso,3,0.2,5322,3312,841,3014083.1182127493,855503.0490439191,5103500.920221765
botswana,3,0.2,507,27,13,23446.048594085,10053.33462544,549454.002392059
burundi,3,0.2,1348,582,257,624197.862321557,484885.671349328,1714038.352422793
central_african_republic,3,0.2,868,491,369,989593.631405213,1003527.58130792,1601841.313697086
chad,3,0.2,3716,712,1036,619282.656271341,1182582.57330796,3661678.152726385
ghana,3,0.2,12130,1144,3092,1518667.515258712,4796141.232944701,15943320.202505251
gambia,3,0.2,1505,40,95,27782.571619514998,89035.83938396102,1446656.488261111
comoros,3,0.2,220,138,66,156892.55495845797,143575.02470573402,394719.234936952
djibouti,3,0.2,301,155,35,166737.79081241498,48410.47340766,420632.270088937
cote_d_ivoire,3,0.2,8162,2167,1556,2345349.917980085,2566605.322788204,10639014.760486715
gabon,3,0.2,356,42,199,73910.783703347,440452.14176851,745404.3793945231
democratic_republic_of_the_congo,3,0.2,31029,15533,5504,18324953.302096408,13178717.399977177,43591738.808713526
equatorial_guinea,3,0.2,491,72,176,241243.395520473,653923.838086043,1182009.9697834991
ethiopia,3,0.2,12094,4702,2569,5186117.37230921,3791796.7611598587,14999047.86558796
eritrea,3,0.2,243,49,14,47789.151316098,11353.150116805002,253661.679412561
guinea_bissau,3,0.2,549,1,134,664.085087043,272643.6649088021,780204.450061094
guinea,3,0.2,3587,1013,1187,1119291.325451435,1691137.0396177229,5008076.957590911
kenya,3,0.2,6162,2403,1849,4411101.836341731,4029299.875654382,10892339.03186487
lesotho,3,0.2,224,2,2,2128.876881538,1813.823890207,234325.79196567798
liberia,3,0.2,876,39,357,84988.08418611203,827494.071079173,2216567.2099406663
madagascar,3,0.2,872,459,540,2253745.715725423,2452238.840225895,3833274.618120391
malawi,3,0.2,1727,972,731,1353082.9660366122,1172306.3626983478,2369040.752047225
mali,3,0.2,5920,1871,511,1607600.8857251909,528593.759835873,5960716.49871718
mauritania,3,0.2,1828,566,79,502698.12127523404,85237.97318388498,1706446.892726493
mauritius,3,0.2,447,2,133,1277.671871593,123859.65776569999,561324.3734052279
mozambique,3,0.2,6041,2735,1414,3571108.1722807838,2287627.105441346,7310755.477268714
namibia,3,0.2,347,197,83,240510.651151803,83015.16345638299,405575.736074747
