ID_HDC_G0,Region,Region_L2_pred,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived
2024.0,Africa,Northern Africa,algeria,Tiaret,193,193,100.0,250578.142881158,0.0,0.0
2037.0,Africa,Northern Africa,algeria,Sougueur,81,81,100.0,91766.34156867,0.0,0.0
2050.0,Africa,Northern Africa,algeria,Tissemsilt,50,50,100.0,77696.803373632,6487.35324238,8.349575478907816
2055.0,Africa,Northern Africa,algeria,Ain Defla,70,70,100.0,77054.89868118001,5952.778809314,7.725373611798562
2060.0,Africa,Northern Africa,algeria,Aflou,163,163,100.0,186728.056779715,12126.334037302,6.494114621247069
2062.0,Africa,Northern Africa,algeria,Khemis Miliana,74,74,100.0,103977.010588977,20528.641584348,19.743442774574554
2068.0,Africa,Northern Africa,algeria,Ksar Chellala,55,55,100.0,67846.59616415901,9208.10707384,13.571951423414696
2084.0,Africa,Northern Africa,algeria,Kolea القليعة,138,138,100.0,229488.73319625598,27515.381665449,11.98986167304265
2088.0,Africa,Northern Africa,algeria,Medea,104,104,100.0,157996.258719002,986.672449531,0.6244910211993103
2089.0,Africa,Northern Africa,algeria,Blida,451,451,100.0,647758.6330995059,114851.60353692199,17.730617187973312
2092.0,Africa,Northern Africa,algeria,Ksar El Boukhari,54,54,100.0,72243.570273488,6126.12439906,8.479819554693533
2095.0,Africa,Northern Africa,algeria,Algiers,2248,2248,100.0,4098005.835226121,600692.116625658,14.658156693242308
2096.0,Africa,Northern Africa,algeria,Boufarik,67,67,100.0,83583.33769933801,15241.34110275,18.23490365696501
2097.0,Africa,Northern Africa,algeria,Laghouat,219,219,100.0,228793.686571102,6018.066448105,2.630346378126466
2098.0,Africa,Northern Africa,algeria,Berrouaghia,38,38,100.0,54394.60813607901,0.0,0.0
2099.0,Africa,Northern Africa,algeria,Ain Oussara,112,112,100.0,119894.489654192,39851.050288959996,33.23843356262757
2105.0,Africa,Northern Africa,algeria,El Menia,70,70,100.0,67766.38712092601,5647.5910011040005,8.33391190093421
2108.0,Africa,Northern Africa,algeria,Hassi Bahbah,119,119,100.0,130853.830737478,38572.981637382,29.477915487830092
2109.0,Africa,Northern Africa,algeria,Bougara,85,85,100.0,115247.98631339999,13955.731257298,12.109305944268248
2111.0,Africa,Northern Africa,algeria,Larbaa,86,86,100.0,107222.77327304299,16514.177940889,15.401744831609248
2113.0,Africa,Northern Africa,algeria,Meftah,70,70,100.0,115744.237272907,4181.364086513,3.6125894342834455
2116.0,Africa,Northern Africa,algeria,Djelfa,504,504,100.0,603011.686845926,206963.23966440302,34.321596774837246
2117.0,Africa,Northern Africa,algeria,Khemis El Khechna,48,48,100.0,77899.08826631101,2190.9459249789998,2.812543732846893
2128.0,Africa,Northern Africa,algeria,Messaad,146,146,100.0,149726.569921008,38780.026011825,25.900563962885396
2137.0,Africa,Northern Africa,algeria,Bordj Menaiel,49,49,100.0,73421.824385225,10492.790215648001,14.291105272180504
2143.0,Africa,Northern Africa,algeria,Ghardaia,107,107,100.0,126174.665282178,43466.186614688995,34.4492188804154
2146.0,Africa,Northern Africa,algeria,Sidi Aissa,62,62,100.0,91372.62482881201,24993.392852898,27.353261329335233
2158.0,Africa,Northern Africa,algeria,Bouira,72,72,100.0,96486.74268339301,2718.319471595,2.817298414264811
2170.0,Africa,Northern Africa,algeria,Tizi Ouzou,89,89,100.0,116689.04846988499,849.091994447,0.7276535421112231
2177.0,Africa,Northern Africa,algeria,Bou Saada,158,158,100.0,168525.298848424,16030.952515877,9.512490187182907
2203.0,Africa,Northern Africa,algeria,M'Sila,177,177,100.0,195290.85004262102,4005.985597899,2.05129200729308
2207.0,Africa,Northern Africa,algeria,Guerrara,35,35,100.0,67100.599861026,9245.87416353,13.779122962655174
2213.0,Africa,Northern Africa,algeria,Bordj Bou Arreridjj,187,187,100.0,210933.94508151803,18801.455397093,8.91343277623094
2230.0,Africa,Northern Africa,algeria,Bejaia,131,131,100.0,204653.12670827797,20498.076399161,10.016009395439095
2231.0,Africa,Northern Africa,algeria,Ras El Oued,49,49,100.0,57990.091178913004,3483.140821391,6.006441360205307
2242.0,Africa,Northern Africa,algeria,Ouled Djellal,79,79,100.0,86395.93254204503,605.225973037,0.7005260030528215
2255.0,Africa,Northern Africa,algeria,Aïn Oulmane,60,60,100.0,70867.84923664501,2471.166372056,3.487006306349405
2261.0,Africa,Northern Africa,algeria,Setif,283,283,100.0,357997.26997853594,694.533170114,0.194005158239235
2266.0,Africa,Northern Africa,algeria,Barika,104,104,100.0,123151.24940061901,32652.082538070998,26.513805338548902
2271.0,Africa,Northern Africa,algeria,Tulqa,70,70,100.0,68577.392613073,8931.8065831,13.02441846031533
2274.0,Africa,Northern Africa,algeria,Ouargla,234,234,100.0,237338.529517974,6472.541643923,2.7271348049001984
2291.0,Africa,Northern Africa,algeria,El Eulma,180,180,100.0,194948.87162602,3301.231204776,1.6933830789792486
2293.0,Africa,Northern Africa,algeria,Jijel,120,120,100.0,169517.45087800798,16439.21874835,9.69765570636168
2301.0,Africa,Northern Africa,algeria,Biskra,271,271,100.0,298648.579536088,6517.450645937,2.18231429597322
2322.0,Africa,Northern Africa,algeria,Aïn Touta,57,57,100.0,62077.12142313501,7761.952918231001,12.503725592112044
2326.0,Africa,Northern Africa,algeria,Tadjenanet,55,55,100.0,52118.222126966,3656.4537436990004,7.0156916227715085
2337.0,Africa,Northern Africa,algeria,Batna,321,321,100.0,379889.85206629604,15790.882511451002,4.156700271292131
2343.0,Africa,Northern Africa,algeria,Chelghoum Laid,56,56,100.0,69996.204125824,0.0,0.0
2345.0,Africa,Northern Africa,algeria,Touggourt,175,175,100.0,165933.396380129,19018.129609259,11.461303163885864
2350.0,Africa,Northern Africa,algeria,Mila,66,66,100.0,78440.88666364699,5055.913989893999,6.445508464958665
2377.0,Africa,Northern Africa,algeria,Constantine,343,343,100.0,567466.483476187,48699.232712112,8.581869437255603
2378.0,Africa,Northern Africa,algeria,Ali Mendjeli,130,130,100.0,153561.84527565597,2116.4544187779998,1.3782423719764454
2379.0,Africa,Northern Africa,algeria,Ain Mlila,92,92,100.0,99104.41769358798,0.0,0.0
2388.0,Africa,Northern Africa,algeria,El Khroub,81,81,100.0,119583.977327542,10825.136159067,9.052329919933017
2400.0,Africa,Northern Africa,algeria,Skikda,132,132,100.0,269216.92811716103,11476.850071931,4.263049189438922
2403.0,Africa,Northern Africa,algeria,Ain Fakroun,51,51,100.0,60835.867766378,5736.5324550899995,9.429523512542701
2413.0,Africa,Northern Africa,algeria,El Oued,269,269,100.0,262499.47776794,10317.104101391,3.9303331911813286
2427.0,Africa,Northern Africa,algeria,Oum El Bouaghi,80,80,100.0,95331.082707659,0.0,0.0
2434.0,Africa,Northern Africa,algeria,Khenchela,154,154,100.0,162113.388437231,2073.032504811,1.278754657338904
2453.0,Africa,Northern Africa,algeria,Guelma,128,128,100.0,157340.03762139298,18190.289278562002,11.561131898502056
2454.0,Africa,Northern Africa,algeria,Ain Beida,149,149,100.0,167489.98198127904,0.0,0.0
2466.0,Africa,Northern Africa,algeria,Sedrata,57,57,100.0,60695.37883871899,1552.555223304,2.5579463428830085
