ID_HDC_G0,Region,Region_L2_pred,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived,Region_L1,Region_L2,UCDB_CityPop,CitySizeClass
2343.0,Africa,Northern Africa,algeria,Chelghoum Laid,56,56,100.0,69996.204125824,0.0,0.0,Africa,Northern Africa,69996.48457685485,Small
2345.0,Africa,Northern Africa,algeria,Touggourt,175,175,100.0,165933.396380129,19018.129609259,11.461303163885864,Africa,Northern Africa,165933.45712134847,Small
2350.0,Africa,Northern Africa,algeria,Mila,66,66,100.0,78440.88666364699,5055.913989893999,6.445508464958665,Africa,Northern Africa,78440.91771358252,Small
2377.0,Africa,Northern Africa,algeria,Constantine,343,343,100.0,567466.483476187,48699.232712112,8.581869437255603,Africa,Northern Africa,567466.878828682,Medium
2378.0,Africa,Northern Africa,algeria,Ali Mendjeli,130,130,100.0,153561.84527565597,2116.4544187779998,1.3782423719764454,Africa,Northern Africa,153561.8843441368,Small
2379.0,Africa,Northern Africa,algeria,Ain Mlila,92,92,100.0,99104.41769358798,0.0,0.0,Africa,Northern Africa,99104.5121342875,Small
2388.0,Africa,Northern Africa,algeria,El Khroub,81,81,100.0,119583.977327542,10825.136159067,9.052329919933017,Africa,Northern Africa,119584.05636874773,Small
2400.0,Africa,Northern Africa,algeria,Skikda,132,132,100.0,269216.92811716103,11476.850071931,4.263049189438922,Africa,Northern Africa,269217.1458376348,Small
2403.0,Africa,Northern Africa,algeria,Ain Fakroun,51,51,100.0,60835.867766378,5736.5324550899995,9.429523512542701,Africa,Northern Africa,60835.873214704916,Small
2413.0,Africa,Northern Africa,algeria,El Oued,269,269,100.0,262499.47776794,10317.104101391,3.9303331911813286,Africa,Northern Africa,262499.6191624529,Small
2427.0,Africa,Northern Africa,algeria,Oum El Bouaghi,80,80,100.0,95331.082707659,0.0,0.0,Africa,Northern Africa,95331.10222292226,Small
2434.0,Africa,Northern Africa,algeria,Khenchela,154,154,100.0,162113.388437231,2073.032504811,1.278754657338904,Africa,Northern Africa,162113.426896777,Small
