Region,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived
Africa,angola,Cazombo,32,32,100.0,181356.585263711,46056.62502666,25.395617677565426
Africa,angola,Chitembo,24,24,100.0,25594.366530307998,10450.885409407,40.83275668116813
Africa,angola,Cubal,70,70,100.0,106816.83648339398,50697.929975137,47.462489663807474
Africa,angola,Dundo,103,103,100.0,209521.838417589,113686.99098266299,54.26021069750176
Africa,angola,Gabela,56,56,100.0,150021.97977691502,107282.251264213,71.51102220070909
Africa,angola,Ganda,73,73,100.0,95482.40543508499,37436.628625882004,39.2078817613511
Africa,angola,Huambo,400,400,100.0,534007.383636265,300833.091349693,56.33500595089209
Africa,angola,Kuito,560,560,100.0,709989.682092573,442305.625114942,62.29747224090947
Africa,angola,Lobito,219,219,100.0,497843.622734794,338945.114610306,68.08264666490771
Africa,angola,Luanda,9062,9062,100.0,10729532.902254956,7037484.142618522,65.58984633095723
Africa,angola,Luau,160,160,100.0,172564.13897604,88492.778300637,51.28109398959418
Africa,angola,Lubango,751,751,100.0,1048557.11967693,559606.2419566041,53.36917097363507
Africa,angola,Lucapa,51,51,100.0,72729.282077211,27250.690902013,37.46866478495288
Africa,angola,Luena,732,732,100.0,703227.4211263519,331561.277957321,47.14851383728223
Africa,angola,M'banza Congo,121,121,100.0,296541.432794063,158851.243851695,53.567976102014484
Africa,angola,Malanje,611,611,100.0,886331.767861251,670834.5021967,75.68661380776712
Africa,angola,Matala,190,190,100.0,240268.5986186,86753.023579957,36.1066839689975
Africa,angola,Menongue,206,206,100.0,209411.802520347,103665.78975963201,49.50331763156452
Africa,angola,N'dalatando,67,67,100.0,104826.642261684,85621.441949296,81.67908472691026
Africa,angola,N/A,20,20,100.0,19305.151191683995,3962.1876379749997,20.52399175035612
Africa,angola,Namibe,360,360,100.0,318529.441478724,142442.21985479997,44.718698275906256
Africa,angola,Negage,40,40,100.0,48713.566606519,5883.586963366999,12.077922790772702
Africa,angola,Panguila,44,44,100.0,52474.788587071,6094.462984470001,11.61407820511274
Africa,angola,Porto Amboim,30,30,100.0,32008.314293378004,13015.619988810002,40.663247272296125
Africa,angola,Saurimo,423,423,100.0,412517.658527856,250665.84949258697,60.764877408432284
Africa,angola,Soyo,75,75,100.0,114378.74970171698,78948.709486304,69.02393118668518
Africa,angola,Sumbe,63,63,100.0,163559.452122301,114865.74065609301,70.22873894820982
Africa,angola,Uíge,108,108,100.0,243142.766208355,136412.668851655,56.10393884174191
Africa,angola,Vila Nova do Seles,34,34,100.0,74720.57755302198,33549.860278793,44.900429543636626
Africa,angola,Waku Kungo,99,99,100.0,101475.99020369,49299.098272979994,48.582032236416964
Latin America and the Caribbean,argentina,Bahía Blanca,275,275,100.0,251106.362166751,52697.34145855,20.986063835194877
Latin America and the Caribbean,argentina,Belén de Escobar,69,69,100.0,72258.67520871901,4070.125624678,5.632715536122759
Latin America and the Caribbean,argentina,Buenos Aires,15376,15376,100.0,13734029.29001883,984528.852180596,7.168536133064022
Latin America and the Caribbean,argentina,Campana,55,55,100.0,62126.340727186005,3344.30982668,5.383078719163247
Latin America and the Caribbean,argentina,Cipolletti,84,84,100.0,69428.31876444601,0.0,0.0
Latin America and the Caribbean,argentina,Comodoro Rivadavia,165,165,100.0,148145.594864091,4674.291080139999,3.155200857931822
Latin America and the Caribbean,argentina,Concepción,62,62,100.0,56730.34778774201,0.0,0.0
Latin America and the Caribbean,argentina,Concepción del Uruguay,56,56,100.0,52306.386273088996,0.0,0.0
Latin America and the Caribbean,argentina,Concordia,255,255,100.0,225800.369503411,15758.380657853,6.9788994112407545
Latin America and the Caribbean,argentina,Cordoba,1458,1458,100.0,1428021.399177368,78278.72193671101,5.481621072471643
Latin America and the Caribbean,argentina,Corrientes,430,430,100.0,389103.25685924,86679.21766058101,22.276662076857825
Latin America and the Caribbean,argentina,Eldorado,70,70,100.0,63367.59956420601,0.0,0.0
Latin America and the Caribbean,argentina,Formosa,195,195,100.0,174002.09363306197,18160.287396363005,10.436821199783761
Latin America and the Caribbean,argentina,General Pico,55,55,100.0,49352.354637875,718.742974317,1.4563499139824372
Latin America and the Caribbean,argentina,General Roca,82,82,100.0,80896.389422408,6511.147840972,8.048749625862087
Latin America and the Caribbean,argentina,General Rodríguez,44,44,100.0,39809.193460545,8677.490370968,21.797704541711663
Latin America and the Caribbean,argentina,Goya,88,88,100.0,74028.242739268,8051.03993037,10.875632910436973
Latin America and the Caribbean,argentina,Gualeguaychu,71,71,100.0,61190.495402135,0.0,0.0
Latin America and the Caribbean,argentina,Junín,98,98,100.0,81125.27043732902,0.0,0.0
Latin America and the Caribbean,argentina,La Plata,786,786,100.0,749678.544996018,57049.68781116901,7.609886689697386
Latin America and the Caribbean,argentina,La Rioja,221,221,100.0,207839.44880498498,1689.95356998,0.813105298198552
Latin America and the Caribbean,argentina,Libertador Gral. San Martín,54,54,100.0,48926.94657100899,1674.34898048,3.4221407584672634
Latin America and the Caribbean,argentina,Luján,76,76,100.0,64487.974781737,7968.0345678369995,12.35584555850178
Latin America and the Caribbean,argentina,Mar del Plata,772,772,100.0,635167.242395018,6789.065355008001,1.0688626399259111
Latin America and the Caribbean,argentina,Mendoza,1030,1030,100.0,1027446.128946508,26278.450812506002,2.5576475566121033
Latin America and the Caribbean,argentina,Necochea,90,90,100.0,75821.60292884901,1775.496667049,2.341676512319485
Latin America and the Caribbean,argentina,Neuquén,246,246,100.0,220640.189322948,10495.142531601,4.756677631489613
Latin America and the Caribbean,argentina,Oberá,90,90,100.0,78621.219770856,7535.128512351,9.584090064123105
Latin America and the Caribbean,argentina,Olavarría,87,87,100.0,71087.104005815,1353.237431996,1.9036328050236844
Latin America and the Caribbean,argentina,Paraná,231,231,100.0,211554.521722157,14019.195616514004,6.626753000782452
Latin America and the Caribbean,argentina,Pergamino,103,103,100.0,88666.95124023201,1061.15671295,1.1967894442145965
Latin America and the Caribbean,argentina,Pilar,91,91,100.0,103005.438905953,20695.983037292997,20.09212645187507
Latin America and the Caribbean,argentina,Posadas,415,415,100.0,377392.94657256396,58622.886414698005,15.533646547213934
Latin America and the Caribbean,argentina,Presidencia Roque Sáenz Peña,106,106,100.0,90496.253887816,4273.544144662001,4.722343700502471
Latin America and the Caribbean,argentina,Puerto Madryn,103,103,100.0,100458.22395852699,716.694963686,0.7134258753985928
Latin America and the Caribbean,argentina,Rafaela,88,88,100.0,78866.374270853,0.0,0.0
Latin America and the Caribbean,argentina,Reconquista,102,102,100.0,100683.46601868002,1255.95690425,1.2474311363267725
Latin America and the Caribbean,argentina,Resistencia,424,424,100.0,416199.394534081,155476.041489841,37.35614312074874
Latin America and the Caribbean,argentina,Rosario,1428,1428,100.0,1303938.794563945,36003.419050682,2.7611279916494884
Latin America and the Caribbean,argentina,Río Cuarto,152,152,100.0,133546.498436199,0.0,0.0
Latin America and the Caribbean,argentina,Río Gallegos,162,162,100.0,134824.973186975,12547.241363838999,9.30631845662488
Latin America and the Caribbean,argentina,Salta,578,578,100.0,525431.117730786,37541.480627203,7.14489099719405
Latin America and the Caribbean,argentina,San Carlos de Bariloche,112,112,100.0,102861.017434542,37784.975347056,36.73400894668512
Latin America and the Caribbean,argentina,San Fernando del Valle de Catamarca,202,202,100.0,177693.60515196197,832.963096364,0.46876368772621696
Latin America and the Caribbean,argentina,San Francisco,62,62,100.0,56929.367070205015,0.0,0.0
Latin America and the Caribbean,argentina,San Juan,461,461,100.0,445470.62181596196,0.0,0.0
Latin America and the Caribbean,argentina,San Luis,212,212,100.0,189285.889490411,0.0,0.0
Latin America and the Caribbean,argentina,San Martín,92,92,100.0,81636.27593964101,0.0,0.0
Latin America and the Caribbean,argentina,San Miguel de Tucumán,1047,1047,100.0,976608.357180053,91245.799719379,9.343131158825054
Latin America and the Caribbean,argentina,San Nicolás de los Arroyos,152,152,100.0,132244.933666142,13221.412763428,9.99767053217027
Latin America and the Caribbean,argentina,San Pedro,57,57,100.0,51931.771172429995,1133.503021468,2.182677378178398
Latin America and the Caribbean,argentina,San Rafael,136,136,100.0,121172.95202017401,0.0,0.0
Latin America and the Caribbean,argentina,San Ramón de la Nueva Orán,103,103,100.0,90448.42341703901,10572.511212415002,11.688994471100214
Latin America and the Caribbean,argentina,San Salvador de Jujuy,205,205,100.0,199397.18830587802,7469.8361229209995,3.746209355501126
Latin America and the Caribbean,argentina,Santa Fe,416,416,100.0,369831.208033158,3282.5528163,0.8875813465708648
Latin America and the Caribbean,argentina,Santa Rosa,131,131,100.0,115680.353673085,1050.82963336,0.9083907508872816
Latin America and the Caribbean,argentina,Santiago del Estero,396,396,100.0,359913.12703331903,44078.057487734004,12.246860194030509
Latin America and the Caribbean,argentina,Santo Tomé,72,72,100.0,61616.128356964,0.0,0.0
Latin America and the Caribbean,argentina,Tandil,132,132,100.0,106805.41503068598,4111.766887194,3.849773802210927
Latin America and the Caribbean,argentina,Tartagal,51,51,100.0,47839.248766669996,1106.71827735,2.3134106531393943
Latin America and the Caribbean,argentina,Trelew,131,131,100.0,115997.891703782,2124.385203005,1.8313998399470364
Latin America and the Caribbean,argentina,Tristán Suárez,92,92,100.0,73767.89822975402,49293.551060264,66.822496293356
Latin America and the Caribbean,argentina,Venado Tuerto,75,75,100.0,60252.100044235995,0.0,0.0
Latin America and the Caribbean,argentina,Viedma,79,79,100.0,71177.19233398302,8380.373321169001,11.773958829179405
Latin America and the Caribbean,argentina,Villa Carlos Paz,53,53,100.0,57946.602783275,2666.164844311,4.60107187695312
Latin America and the Caribbean,argentina,Villa María,105,105,100.0,86774.150461331,0.0,0.0
Latin America and the Caribbean,argentina,Villa Mercedes,110,110,100.0,91777.691697076,793.521030504,0.8646121032582924
Latin America and the Caribbean,argentina,Yacuiba,115,115,100.0,107317.967346367,2892.5879747,2.6953436094854637
Latin America and the Caribbean,argentina,Zárate,85,85,100.0,83341.84635297599,4361.783339863,5.2336053624125745
Asia,bangladesh,Alamdanga,18,18,100.0,96517.924599109,5880.25937338,6.092401383270403
Asia,bangladesh,Alampur,19,19,100.0,53648.315663971,0.0,0.0
Asia,bangladesh,Bagerhat,90,90,100.0,142865.368864099,2557.676715745,1.7902706135718556
Asia,bangladesh,Baneshwar,19,19,100.0,76101.608087384,0.0,0.0
Asia,bangladesh,Barisal,241,241,100.0,443259.58881971,81546.025627477,18.39690052608084
Asia,bangladesh,Barkhada,163,163,100.0,471493.036005598,59176.941806703995,12.550968368067558
Asia,bangladesh,Beanibazar,35,35,100.0,146623.299798009,0.0,0.0
Asia,bangladesh,Benapole,45,45,100.0,71945.048472002,0.0,0.0
