Region,Country,City,Population,SizeClass
Africa,south_africa,Osizweni,261393.768263829,Small
Africa,south_africa,Oudtshoorn,65807.81106363,Small
Africa,south_africa,Paardekraal,99001.162069606,Small
Africa,south_africa,Paarl,243085.439302545,Small
Africa,south_africa,Phuthaditjhaba,161963.495437691,Small
Africa,south_africa,Pietermaritzburg,164178.452243276,Small
Africa,south_africa,Polokwane,481285.412215518,Small
Africa,south_africa,Port Elizabeth,817825.488710902,Medium
Africa,south_africa,Potchefstroom,174221.15344655298,Small
Africa,south_africa,Pretoria,1782398.4678998222,Large
Africa,south_africa,Rustenburg,163307.638179828,Small
Africa,south_africa,Salubindza,76749.055226152,Small
Africa,south_africa,Sasolburg,128173.72389853,Small
Africa,south_africa,Sikhalasenkosi,82832.06223156999,Small
Africa,south_africa,Somerset West,206810.85492255402,Small
Africa,south_africa,Standerton,70433.180016986,Small
Africa,south_africa,Stanger,50945.403053787995,Small
Africa,south_africa,Stellenbosch,94068.31074106197,Small
Africa,south_africa,Stesa AH,83816.40828939198,Small
Africa,south_africa,Tongaat,60788.731330598006,Small
Africa,south_africa,Tsakane,507368.805178696,Medium
Africa,south_africa,Uitenhage,112130.634979284,Small
Africa,south_africa,Vanderbijlpark,240552.810266798,Small
Africa,south_africa,Vosman,174511.946621727,Small
Africa,south_africa,Wells Estate,164163.307843071,Small
Africa,south_africa,Worcester,82913.120857014,Small
Africa,south_africa,eGobhoza,144535.77360900797,Small
Africa,south_africa,eHlau-Hlau,108837.171822586,Small
Africa,south_africa,eMbalenhle,139815.090362527,Small
Africa,tanzania,Arusha,653318.750701047,Medium
Africa,tanzania,Bukala,95465.815747394,Small
Africa,tanzania,Bukoba,129026.593487376,Small
Africa,tanzania,Bunda,55275.492161705,Small
Africa,tanzania,DAR ES SALAAM,58473.107325043,Small
Africa,tanzania,Dar es Salaam,8370408.0977527825,Very large
Africa,tanzania,Dodoma,218758.57226801402,Small
Africa,tanzania,Geita,93850.289653396,Small
Africa,tanzania,Iwambi,75816.96790907202,Small
Africa,tanzania,Kahama,111762.60615023601,Small
Africa,tanzania,Katoro,74426.558003888,Small
Africa,tanzania,Kilima Hewa,332076.752993667,Small
Africa,tanzania,Kyela,45096.536257461994,Small
Africa,tanzania,Makambako,52443.784418359,Small
Africa,tanzania,Mbeya,541870.4381978561,Medium
Africa,tanzania,Mirerani,36680.844643018005,Small
Africa,tanzania,Morogoro,367813.26936102496,Small
Africa,tanzania,Mpanda,101722.24833502897,Small
Africa,tanzania,Mtwara,99615.925894574,Small
Africa,tanzania,Murubona,156942.043755768,Small
Africa,tanzania,Musoma,140377.331903126,Small
Africa,tanzania,Mwanza,839193.7488352981,Medium
Africa,tanzania,N/A,88212.629231733,Small
Africa,tanzania,Nansio,58586.102568020004,Small
Africa,tanzania,Ndiuka,118647.163529033,Small
Africa,tanzania,Nzega,37686.205837724,Small
Africa,tanzania,Picha Ya Ndege,71063.335364802,Small
Africa,tanzania,Shinyanga,90562.106860743,Small
Africa,tanzania,Singida,72241.593911806,Small
Africa,tanzania,Songea,194150.35503383202,Small
Africa,tanzania,Sumbawanga,144270.23640799598,Small
Africa,tanzania,Tabora,172931.28883584499,Small
Africa,tanzania,Tanga,243482.233825189,Small
Africa,tanzania,Vwawa,60020.282924891,Small
Africa,tanzania,Zanzibar City,981363.905185646,Medium
Africa,sudan,Abu Zabad,77278.31003626,Small
Africa,sudan,Ad Da'ein,507226.520265438,Medium
