Region,Country,City,CitySizeClass,TotalPop,DeprivedPop,PctDeprived
Asia,indonesia,Pandanwangi,Small,92939.92567629801,2514.291223426,2.7052864580321123
Asia,indonesia,Pandeglang,Small,270552.31791489106,11232.560587565002,4.1517147863055754
Asia,indonesia,Pangkajene,Small,147867.62393085897,0.0,0.0
Asia,indonesia,Pangkalan Brandan,Small,88748.09964416901,0.0,0.0
Asia,indonesia,Pangkalan Kerinci,Small,129057.93877012798,4844.34525406,3.7536205058167895
Asia,indonesia,Pangkalpinang,Small,290079.358007794,661.336709865,0.2279847536918607
Asia,indonesia,Panjunan,Small,98059.71990254498,0.0,0.0
Asia,indonesia,Panyabungan,Small,118813.48918868901,14966.551972935002,12.596677427060875
Asia,indonesia,Pare,Small,298962.393622227,20545.113198600997,6.872139652642092
Asia,indonesia,Pare-Pare,Small,141756.43504822598,2938.536398575,2.072947445084451
Asia,indonesia,Parigi,Small,34354.523848961006,445.120459909,1.2956676735383188
Asia,indonesia,Pasirian,Small,58042.84385839801,0.0,0.0
Asia,indonesia,Pasuruan,Small,243595.736304884,1940.639177083,0.7966638523812665
Asia,indonesia,Pati,Large,1653386.582321394,5416.010752063,0.3275707454005579
Asia,indonesia,Payakumbuh,Small,107422.802583804,0.0,0.0
Asia,indonesia,Pedurungan,Small,37802.267950794994,0.0,0.0
Asia,indonesia,Pekalongan,Large,1334795.009346857,28066.244109907995,2.1026632489165054
Asia,indonesia,Pekanbaru,Large,1095975.077003764,0.0,0.0
Asia,indonesia,Pelaihari,Small,69139.007124199,794.744286726,1.1494875610497965
Asia,indonesia,Pemalang,Small,314529.400621766,42374.838298728,13.472457015134623
Asia,indonesia,Pemangkat,Small,59532.35008217099,13583.285915552,22.816646574179142
Asia,indonesia,Pematang Siantar,Small,459325.133588823,6328.331985427,1.3777456365128873
Asia,indonesia,Perak,Small,58259.179310249,0.0,0.0
Asia,indonesia,Perawang,Small,152839.620961629,0.0,0.0
Asia,indonesia,Pinrang,Small,87481.768503331,0.0,0.0
Asia,indonesia,Polewali,Small,49952.679523217,5601.592756103,11.213798357902888
