relative_path,size_bytes,size_mb,sha256
mn_comparison_files/comoros/comoros_segments_mnlabels_k3_maj10.gpkg,438272,0.418,78c74da2dd41e96f5d6c5a5b6e0c45595db035ea9894d5204b3258ee176490cb
mn_comparison_files/comoros/comoros_segments_mnlabels_k3_maj20.csv,124238,0.118,ea172e401928d5ebb74ff9104f48135d9da7a2110c11949b139d0e454877e114
mn_comparison_files/comoros/comoros_segments_mnlabels_k3_maj20.gpkg,438272,0.418,038f9c8d71dc5443f87f574fdebbc2be0d7dbe4b2d2656c70d4920bc8ff4a5e1
mn_comparison_files/comoros/comoros_segments_mnlabels_k3_maj30.csv,124238,0.118,59426eb6dce41337d97465a05fe1113a2ea66b42bbaf766ca937c615cf5f41c1
mn_comparison_files/comoros/comoros_segments_mnlabels_k3_maj30.gpkg,438272,0.418,a97e6790674df017bcd332b58ee909b77d23651ee94d6b9254b7a6e59aed2989
mn_comparison_files/comoros/comoros_segments_mnlabels_k5_maj10.csv,123673,0.118,13ff149dc6d3d32f140f983c4105e716f30bdb9a379e61d56d4cc135daf72b8b
mn_comparison_files/comoros/comoros_segments_mnlabels_k5_maj10.gpkg,438272,0.418,1ec4d96c6cfb6bafdb2f36ef4cfb2769639a97aa2b289aca78aa7c67f9e6cb86
mn_comparison_files/comoros/comoros_segments_mnlabels_k5_maj20.csv,123673,0.118,2cc7d9831cee0f15c769e5e23d97d326547ac97aed9506035768216b605e334b
mn_comparison_files/comoros/comoros_segments_mnlabels_k5_maj20.gpkg,438272,0.418,7b0b4a28a88aa994fc08b6a162d11efbc0ef8c32ab98738aa6c598b4b87da842
mn_comparison_files/comoros/comoros_segments_mnlabels_k5_maj30.csv,123673,0.118,869286c572a19c8fda3215a7a3577db3e5972a05913dfce027381f98adcb347c
mn_comparison_files/comoros/comoros_segments_mnlabels_k5_maj30.gpkg,438272,0.418,faed3ea3ee6b05dd15f09ce6f30fe4428795ff1b5a13e0299b8e59a51355451f
mn_comparison_files/cote_d_ivoire/cote_d_ivoire_segments_mnlabels_k3_maj10.csv,5248180,5.005,3d77fe08dfa1b72d820644572e53575a8802952cfc119120a6ea497573b27820
mn_comparison_files/cote_d_ivoire/cote_d_ivoire_segments_mnlabels_k3_maj10.gpkg,14974976,14.281,9d7f5d0c2b713e082f9c8ee2297b24e423f21edd3cbf77ba6a03c56fa569704d
mn_comparison_files/cote_d_ivoire/cote_d_ivoire_segments_mnlabels_k3_maj20.csv,5248180,5.005,95aff2b1f44d1b05f3dfe7a92c1ce83d376972391b83e6f379a985ceb2ec2bf8
mn_comparison_files/cote_d_ivoire/cote_d_ivoire_segments_mnlabels_k3_maj20.gpkg,14974976,14.281,d788b3334117e20c57be3d06fc4390e9096f015314594567d436997a2d96c2be
mn_comparison_files/cote_d_ivoire/cote_d_ivoire_segments_mnlabels_k3_maj30.csv,5248180,5.005,0cb51294663ae6060165ba0aef27ed88dcd6a0c28b2caffc70c4fb226d588e2b
mn_comparison_files/cote_d_ivoire/cote_d_ivoire_segments_mnlabels_k3_maj30.gpkg,14974976,14.281,585a9703ca3ee5efd537ce9948219045eabf75dbd82d2e732d0fd5f7ab5d60a2
mn_comparison_files/cote_d_ivoire/cote_d_ivoire_segments_mnlabels_k5_maj10.csv,5200268,4.959,40a4961ebb76f4e2d37a2584c4da182632438a93cf6446d4d9ed2dccf7fc02a2
