raster,raster_name,raster_crs,gpkg,gpkg_name,gpkg_status,layers_checked,intersects,intersection_area,intersection_fraction_of_raster_bbox
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\kyrgyzstan_rf_preds.gpkg,kyrgyzstan_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\laos_rf_preds.gpkg,laos_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\lebanon_rf_preds.gpkg,lebanon_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\lesotho_rf_preds.gpkg,lesotho_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\liberia_rf_preds.gpkg,liberia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\libya_rf_preds.gpkg,libya_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\madagascar_rf_preds.gpkg,madagascar_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\malawi_rf_preds.gpkg,malawi_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\malaysia_rf_preds.gpkg,malaysia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\maldives_rf_preds.gpkg,maldives_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\mali_rf_preds.gpkg,mali_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\mauritania_rf_preds.gpkg,mauritania_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\mauritius_rf_preds.gpkg,mauritius_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\mexico_rf_preds.gpkg,mexico_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\mongolia_rf_preds.gpkg,mongolia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\morocco_rf_preds.gpkg,morocco_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\mozambique_rf_preds.gpkg,mozambique_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\myanmar_rf_preds.gpkg,myanmar_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\namibia_rf_preds.gpkg,namibia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\nepal_rf_preds.gpkg,nepal_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\nicaragua_rf_preds.gpkg,nicaragua_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\niger_rf_preds.gpkg,niger_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\nigeria_rf_preds.gpkg,nigeria_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\north_korea_rf_preds.gpkg,north_korea_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\pakistan_rf_preds.gpkg,pakistan_rf_preds.gpkg,OK,1,False,0.0,0.0
