threshold,precision,recall,f1,accuracy,specificity,balanced_acc,tn,fp,fn,tp,region_code,repeat
0.4,0.8585858585858586,0.6296296296296297,0.7264957264957265,0.762962962962963,0.8962962962962963,0.762962962962963,242,28,100,170,1,27
0.4,0.8542713567839196,0.6296296296296297,0.7249466950959488,0.7611111111111111,0.8925925925925926,0.7611111111111111,241,29,100,170,1,28
0.4,0.8717948717948718,0.6296296296296297,0.7311827956989247,0.7685185185185185,0.9074074074074074,0.7685185185185186,245,25,100,170,1,29
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,30
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,31
0.4,0.8947368421052632,0.6296296296296297,0.7391304347826086,0.7777777777777778,0.9259259259259259,0.7777777777777778,250,20,100,170,1,32
0.4,0.8585858585858586,0.6296296296296297,0.7264957264957265,0.762962962962963,0.8962962962962963,0.762962962962963,242,28,100,170,1,33
0.4,0.845771144278607,0.6296296296296297,0.721868365180467,0.7574074074074074,0.8851851851851852,0.7574074074074074,239,31,100,170,1,34
0.4,0.8673469387755102,0.6296296296296297,0.7296137339055794,0.7666666666666667,0.9037037037037037,0.7666666666666666,244,26,100,170,1,35
0.4,0.8629441624365483,0.6296296296296297,0.728051391862955,0.7648148148148148,0.9,0.7648148148148148,243,27,100,170,1,36
0.4,0.8415841584158416,0.6296296296296297,0.7203389830508474,0.7555555555555555,0.8814814814814815,0.7555555555555555,238,32,100,170,1,37
0.4,0.8173076923076923,0.6296296296296297,0.7112970711297071,0.7444444444444445,0.8592592592592593,0.7444444444444445,232,38,100,170,1,38
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,39
0.4,0.85,0.6296296296296297,0.723404255319149,0.7592592592592593,0.8888888888888888,0.7592592592592593,240,30,100,170,1,40
0.4,0.8854166666666666,0.6296296296296297,0.7359307359307359,0.774074074074074,0.9185185185185185,0.7740740740740741,248,22,100,170,1,41
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,42
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,43
0.4,0.85,0.6296296296296297,0.723404255319149,0.7592592592592593,0.8888888888888888,0.7592592592592593,240,30,100,170,1,44
0.4,0.8808290155440415,0.6296296296296297,0.734341252699784,0.7722222222222223,0.9148148148148149,0.7722222222222223,247,23,100,170,1,45
0.4,0.9042553191489362,0.6296296296296297,0.74235807860262,0.7814814814814814,0.9333333333333333,0.7814814814814814,252,18,100,170,1,46
0.4,0.9090909090909091,0.6296296296296297,0.7439824945295405,0.7833333333333333,0.937037037037037,0.7833333333333333,253,17,100,170,1,47
0.4,0.8854166666666666,0.6296296296296297,0.7359307359307359,0.774074074074074,0.9185185185185185,0.7740740740740741,248,22,100,170,1,48
0.4,0.8252427184466019,0.6296296296296297,0.7142857142857143,0.7481481481481481,0.8666666666666667,0.7481481481481482,234,36,100,170,1,49
0.4,0.8702290076335878,0.8201438848920863,0.8444444444444444,0.8489208633093526,0.8776978417266187,0.8489208633093526,244,34,50,228,2,0
0.4,0.8444444444444444,0.8201438848920863,0.8321167883211679,0.8345323741007195,0.8489208633093526,0.8345323741007195,236,42,50,228,2,1
0.4,0.8669201520912547,0.8201438848920863,0.8428835489833642,0.8471223021582733,0.8741007194244604,0.8471223021582734,243,35,50,228,2,2
0.4,0.890625,0.8201438848920863,0.8539325842696629,0.8597122302158273,0.8992805755395683,0.8597122302158273,250,28,50,228,2,3
0.4,0.8669201520912547,0.8201438848920863,0.8428835489833642,0.8471223021582733,0.8741007194244604,0.8471223021582734,243,35,50,228,2,4
0.4,0.8735632183908046,0.8201438848920863,0.8460111317254174,0.8507194244604317,0.8812949640287769,0.8507194244604317,245,33,50,228,2,5
0.4,0.890625,0.8201438848920863,0.8539325842696629,0.8597122302158273,0.8992805755395683,0.8597122302158273,250,28,50,228,2,6
0.4,0.8444444444444444,0.8201438848920863,0.8321167883211679,0.8345323741007195,0.8489208633093526,0.8345323741007195,236,42,50,228,2,7
0.4,0.8871595330739299,0.8201438848920863,0.8523364485981308,0.8579136690647482,0.89568345323741,0.8579136690647482,249,29,50,228,2,8
0.4,0.8702290076335878,0.8201438848920863,0.8444444444444444,0.8489208633093526,0.8776978417266187,0.8489208633093526,244,34,50,228,2,9
0.4,0.8803088803088803,0.8201438848920863,0.8491620111731844,0.85431654676259,0.8884892086330936,0.85431654676259,247,31,50,228,2,10
0.4,0.8507462686567164,0.8201438848920863,0.8351648351648352,0.8381294964028777,0.8561151079136691,0.8381294964028777,238,40,50,228,2,11
0.4,0.890625,0.8201438848920863,0.8539325842696629,0.8597122302158273,0.8992805755395683,0.8597122302158273,250,28,50,228,2,12
0.4,0.8871595330739299,0.8201438848920863,0.8523364485981308,0.8579136690647482,0.89568345323741,0.8579136690647482,249,29,50,228,2,13
0.4,0.8941176470588236,0.8201438848920863,0.8555347091932458,0.8615107913669064,0.9028776978417267,0.8615107913669064,251,27,50,228,2,14
0.4,0.8976377952755905,0.8201438848920863,0.8571428571428571,0.8633093525179856,0.9064748201438849,0.8633093525179856,252,26,50,228,2,15
0.4,0.8702290076335878,0.8201438848920863,0.8444444444444444,0.8489208633093526,0.8776978417266187,0.8489208633093526,244,34,50,228,2,16
0.4,0.8803088803088803,0.8201438848920863,0.8491620111731844,0.85431654676259,0.8884892086330936,0.85431654676259,247,31,50,228,2,17
0.4,0.8571428571428571,0.8201438848920863,0.8382352941176471,0.841726618705036,0.8633093525179856,0.841726618705036,240,38,50,228,2,18
0.4,0.8636363636363636,0.8201438848920863,0.8413284132841329,0.8453237410071942,0.8705035971223022,0.8453237410071943,242,36,50,228,2,19
0.4,0.8837209302325582,0.8201438848920863,0.8507462686567164,0.8561151079136691,0.8920863309352518,0.8561151079136691,248,30,50,228,2,20
0.4,0.8382352941176471,0.8201438848920863,0.8290909090909091,0.8309352517985612,0.841726618705036,0.8309352517985611,234,44,50,228,2,21
0.4,0.8837209302325582,0.8201438848920863,0.8507462686567164,0.8561151079136691,0.8920863309352518,0.8561151079136691,248,30,50,228,2,22
0.4,0.8603773584905661,0.8201438848920863,0.8397790055248618,0.8435251798561151,0.8669064748201439,0.8435251798561152,241,37,50,228,2,23
0.4,0.8702290076335878,0.8201438848920863,0.8444444444444444,0.8489208633093526,0.8776978417266187,0.8489208633093526,244,34,50,228,2,24
0.4,0.8636363636363636,0.8201438848920863,0.8413284132841329,0.8453237410071942,0.8705035971223022,0.8453237410071943,242,36,50,228,2,25
0.4,0.8539325842696629,0.8201438848920863,0.8366972477064221,0.8399280575539568,0.8597122302158273,0.8399280575539568,239,39,50,228,2,26
0.4,0.8571428571428571,0.8201438848920863,0.8382352941176471,0.841726618705036,0.8633093525179856,0.841726618705036,240,38,50,228,2,27
