threshold,precision,recall,f1,specificity,balanced_acc,tn,fp,fn,tp
0.4,0.34702053079619427,0.6682738669238187,0.45682267633487145,0.8921244209133025,0.7801991439185606,10784,1304,344,693
0.41000000000000003,0.353918007265179,0.6576663452266153,0.4601889338731444,0.897005294506949,0.7773358198667821,10843,1245,355,682
0.42,0.3622257891920813,0.6528447444551592,0.46593255333792155,0.9013898080741231,0.7771172762646411,10896,1192,360,677
0.43,0.3685682326621924,0.6354869816779171,0.46654867256637167,0.9066015883520847,0.7710442850150009,10959,1129,378,659
0.44,0.37689614935822635,0.6229508196721312,0.46964740094511087,0.9116479152878888,0.7672993674800099,11020,1068,391,646
0.45,0.38764385221078135,0.6171648987463838,0.47619047619047616,0.9163633355393779,0.7667641171428808,11077,1011,397,640
0.46,0.39462163852407756,0.6084860173577628,0.4787556904400607,0.9199205823957644,0.7642032998767636,11120,968,406,631
0.47000000000000003,0.40426908150064683,0.6027000964320154,0.48393341076267904,0.923808735936466,0.7632544161842407,11167,921,412,625
0.48,0.4140256237356709,0.5920925747348119,0.4873015873015873,0.9281105228325612,0.7601015487836866,11219,869,423,614
0.49,0.42407277816655004,0.5843780135004821,0.49148418491484186,0.9319159497021839,0.7581469816013331,11265,823,431,606
0.5,0.42981186685962375,0.5728061716489875,0.49111202976436547,0.9348113831899404,0.753808777419464,11300,788,443,594
0.51,0.4397905759162304,0.5670202507232401,0.4953664700926706,0.938037723362012,0.752528987042626,11339,749,449,588
0.52,0.45193798449612405,0.562198649951784,0.5010743446497636,0.9415122435473197,0.7518554467495518,11381,707,454,583
0.53,0.45904298459042986,0.5458052073288332,0.4986784140969163,0.9448213103904699,0.7453132588596516,11421,667,471,566
0.54,0.46661031276415893,0.532304725168756,0.4972972972972973,0.9477994705493051,0.7400520978590306,11457,631,485,552
0.55,0.47285464098073554,0.5207328833172613,0.4956402019274897,0.950198544010589,0.7354657136639251,11486,602,497,540
0.56,0.48454545454545456,0.5139826422372228,0.4988301357042583,0.9530939774983455,0.7335383098677841,11521,567,504,533
