ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label,slum_label1
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2360,4259.64721811,9.59902,1623.4482737425988,221.0,158.0,0.714932126696833,301.728073643089,0.7311,365.7623822812973,40056.9,181.3,1.9451,3199135.315961638,3,434.3447963800905,0.492,0.557,0.497,0.57,0.497,0.566,7.345919790690492,0.224,0.39,0.242,0.418,0.242,0.412,2.0,1.0,2.0,1.0,2.0,1.0,443.758552238666,19.274421801402717,26.959792519683543,2.623826879491558,607.532911392405,169.12646017433016,0.7149321266968326,10.274989074320246,0.1446280991735537,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2361,433.431829612,1.24774,578.9479729859901,63.0,30.0,0.476190476190476,164.18796761975094,0.4219,365.7623822812973,6336.4,100.6,1.0159,3199135.315961638,3,198.05396825396824,0.382,0.557,0.399,0.57,0.399,0.566,9.189650364856986,0.257,0.39,0.271,0.418,0.271,0.412,2.0,1.0,2.0,1.0,2.0,1.0,347.3735150047285,6.879870311301588,14.447727653733333,0.7486541966396842,415.91333333333336,463.9972854809416,0.4761904761904761,19.29826576619967,0.1328125,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2362,1129.11968927,3.82056,1428.7515780191552,108.0,38.0,0.351851851851852,277.92800522680346,0.4916,365.7623822812973,18348.4,169.9,1.2182,3199135.315961638,3,353.7555555555556,0.468,0.557,0.474,0.57,0.474,0.566,13.22918127795514,0.309,0.39,0.318,0.418,0.318,0.412,2.0,1.0,2.0,1.0,2.0,1.0,295.53774558441694,10.454811937685186,29.71367603342105,0.7902841240150581,1005.4105263157894,373.963915766054,0.3518518518518518,37.59872573734619,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2363,1645.15350155,6.86109,1121.9163638573414,68.0,39.0,0.573529411764706,814.5171998960952,0.7377,365.7623822812973,27252.1,400.8,2.0407,3199135.315961638,3,1008.9838235294116,0.578,0.557,0.58,0.57,0.58,0.566,16.498770056725608,0.339,0.39,0.346,0.418,0.346,0.412,1.0,0.0,1.0,0.0,1.0,0.0,239.78019550100643,24.19343384632353,42.18342311666667,1.4663780247341072,1759.253846153846,163.5186776237218,0.5735294117647058,28.767086252752343,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2364,983.616997321,3.67654,884.066529803342,78.0,44.0,0.564102564102564,398.88634372168826,0.4715,365.7623822812973,12684.0,162.6,1.5409,3199135.315961638,3,471.35128205128206,0.501,0.557,0.506,0.57,0.506,0.566,11.334186279530025,0.287,0.39,0.298,0.418,0.298,0.412,2.0,1.0,2.0,1.0,2.0,1.0,267.538772139294,12.610474324628203,22.354931757295454,1.11260517637717,835.5772727272728,240.4615561923281,0.5641025641025641,20.09242113189413,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2365,542.273395752,2.42038,954.6098852531054,41.0,12.0,0.292682926829268,268.5646363464021,0.775,365.7623822812973,9515.8,232.1,1.4581,3199135.315961638,3,590.3365853658537,0.525,0.557,0.529,0.57,0.529,0.566,23.28316793300257,0.385,0.39,0.39,0.418,0.39,0.412,2.0,1.0,2.0,1.0,2.0,1.0,224.04473502177345,13.226180384195125,45.18944964600001,0.5680575951800684,2016.9833333333336,394.4049633748028,0.2926829268292683,79.55082377109211,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2366,2529.93023787,4.90055,1038.282994947067,92.0,54.0,0.58695652173913,413.9858236500587,0.6712,365.7623822812973,25014.7,271.9,1.5628,3199135.315961638,3,532.6684782608695,0.514,0.557,0.518,0.57,0.518,0.566,11.28568472768551,0.287,0.39,0.297,0.418,0.297,0.412,2.0,1.0,2.0,1.0,2.0,1.0,516.2543465264102,27.49924171597826,46.85055996055556,2.4366480527777297,907.5092592592592,211.87070735877955,0.5869565217391305,19.22746286939013,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2367,466.875608065,1.40115,602.701422922511,44.0,15.0,0.340909090909091,207.62790754566345,0.4596,365.7623822812973,6876.0,156.3,0.918,3199135.315961638,3,318.4431818181818,0.455,0.557,0.462,0.57,0.462,0.566,13.69775961187525,0.314,0.39,0.322,0.418,0.322,0.412,2.0,1.0,2.0,1.0,2.0,1.0,333.20886990329376,10.610809274204543,31.125040537666667,0.774638303989911,934.1,430.1476807782972,0.3409090909090909,40.180094861500734,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2368,3935.04631639,103.784,4924.845994963516,724.0,493.0,0.680939226519337,492.5888210019317,2.3754,365.7623822812973,82493.8,113.9,1.2897,3199135.315961638,3,1433.4806629834254,0.611,0.557,0.612,0.57,0.612,0.566,6.8022734737065145,0.213,0.39,0.231,0.418,0.231,0.412,1.0,0.0,1.0,0.0,1.0,0.0,37.91573186994141,5.435146845842541,7.981838369959432,0.7990191612924032,2105.1521298174443,47.45284432054571,0.680939226519337,9.989545628729244,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2369,413.543552067,1.92601,725.0578094933269,59.0,25.0,0.423728813559322,254.0811177120796,0.4427,365.7623822812973,8374.3,141.9,1.0649,3199135.315961638,3,326.44237288135594,0.458,0.557,0.465,0.57,0.465,0.566,12.289115415141133,0.299,0.39,0.308,0.418,0.308,0.412,2.0,1.0,2.0,1.0,2.0,1.0,214.71516350745844,7.009212746898306,16.54174208268,0.5703594205212213,770.404,376.45589041247285,0.423728813559322,29.00231237973308,0.0,0.0,0
