ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label,slum_label1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1119,1154.69002293,5.94951,2195.0083071904387,144.0,35.0,0.243055555555556,242.938222734964,1.6911,291.4489313716269,15338.1,106.5,1.0879,3294899.462836777,3,413.16041666666666,0.603,0.573,0.475,0.495,0.475,0.496,15.243113244378046,0.434,0.38,0.322,0.31,0.335,0.323,0.0,0.0,1.0,0.0,1.0,0.0,194.0815332573607,8.018680714791666,32.99114351228571,0.5260526892529064,1699.86,368.93934243163534,0.2430555555555555,62.714523062583964,0.13731825525040386,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1120,521.32317767,1.73012,767.9437998119437,86.0,37.0,0.430232558139535,156.661725201759,0.4023,291.4489313716269,7141.6,83.0,0.6268,3294899.462836777,3,201.17674418604653,0.495,0.573,0.392,0.495,0.392,0.496,8.92957906758074,0.325,0.38,0.246,0.31,0.269,0.323,2.0,1.0,2.0,1.0,2.0,1.0,301.3219763195616,6.061897414767441,14.0898156127027,0.6788558977853107,467.6,443.867361692798,0.4302325581395348,20.755237832755235,0.6444444444444445,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1121,940.511565269,2.37155,976.8294026488172,86.0,34.0,0.395348837209302,222.87466387074824,0.5696,291.4489313716269,9235.5,107.4,1.0495,3294899.462836777,3,275.76162790697674,0.547,0.573,0.431,0.495,0.431,0.496,11.358481426149035,0.376,0.38,0.281,0.31,0.299,0.323,2.0,1.0,2.0,1.0,2.0,1.0,396.5809556066707,10.9361809915,27.662104860852946,0.9628206959359168,697.5147058823529,411.8949221601136,0.3953488372093023,28.730276548494626,0.8278688524590164,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1122,917.336503874,2.31877,1033.4392296606732,102.0,44.0,0.431372549019608,114.71429283752424,1.1994,291.4489313716269,7689.0,75.4,2.1893,3294899.462836777,3,227.3303921568628,0.516,0.573,0.408,0.495,0.408,0.496,10.131757153536013,0.352,0.38,0.264,0.31,0.284,0.323,2.0,1.0,2.0,1.0,2.0,1.0,395.6134087787922,8.993495136019607,20.848556906227277,0.8876540366821616,526.9931818181818,445.6842333050165,0.4313725490196078,23.487255219560755,0.5355648535564853,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1123,433.269832623,2.15108,773.2145221497649,52.0,19.0,0.365384615384615,195.5224244561949,0.5917,291.4489313716269,7426.9,142.8,0.694,3294899.462836777,3,413.6692307692307,0.603,0.573,0.475,0.495,0.475,0.496,14.869510041341632,0.429,0.38,0.319,0.31,0.332,0.323,0.0,0.0,1.0,0.0,1.0,0.0,201.41967412788,8.332112165826924,22.803675401210526,0.5603488038718956,1132.1473684210523,359.4540984760051,0.3653846153846153,40.6955011657771,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1124,463.251221783,0.788358,561.1517658920184,38.0,2.0,0.052631578947368,125.38257454052476,0.7351,291.4489313716269,3497.0,92.0,1.1119,3294899.462836777,3,207.46263157894737,0.5,0.573,0.396,0.495,0.396,0.496,14.767151734000484,0.428,0.38,0.318,0.31,0.331,0.323,1.0,0.0,1.0,0.0,1.0,0.0,587.6152988654901,12.190821625868422,231.6256108915,0.8255364233713252,3941.79,711.7981499420547,0.0526315789473684,280.5758829460092,1.0,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1125,1700.68802871,3.42109,1191.9385139120943,192.0,99.0,0.515625,148.50977590724634,0.5106,291.4489313716269,14165.2,73.8,0.9257,3294899.462836777,3,178.18177083333333,0.472,0.573,0.374,0.495,0.374,0.496,6.208013093292159,0.242,0.38,0.189,0.31,0.223,0.323,2.0,1.0,2.0,1.0,2.0,1.0,497.118762941051,8.85775014953125,17.178666956666667,1.4268253008522436,345.5646464646465,348.40899067609865,0.515625,12.039782968809034,0.9348441926345609,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1126,2953.71121598,12.6124,3315.8859962003435,447.0,250.0,0.559284116331096,185.9768219709942,1.1012,291.4489313716269,44532.2,99.6,1.031,3294899.462836777,3,282.1565995525727,0.55,0.573,0.434,0.495,0.434,0.496,7.418089476958262,0.284,0.38,0.217,0.31,0.246,0.323,2.0,1.0,2.0,1.0,2.0,1.0,234.1910513447084,6.607855069306488,11.81484486392,0.8907758648411442,504.4959999999999,262.9068215565906,0.5592841163310962,13.263543984801371,0.7282442748091603,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1127,5040.38108547,27.422,4414.429077986493,535.0,285.0,0.532710280373832,266.99238202280435,2.0076,291.4489313716269,59215.4,110.7,0.9414,3294899.462836777,3,512.5607476635514,0.631,0.573,0.497,0.495,0.497,0.496,8.251269304647652,0.308,0.38,0.234,0.31,0.259,0.323,1.0,0.0,1.0,0.0,1.0,0.0,183.80793105790968,9.42127305695327,17.685547668315788,1.1417968204778624,962.1754385964912,160.98129523690807,0.5327102803738317,15.489224835040329,0.0705173635719348,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1128,644.209929168,1.07539,496.9008246081951,28.0,7.0,0.25,183.93219514343207,0.5125,291.4489313716269,6182.7,220.8,1.3373,3294899.462836777,3,384.0678571428572,0.594,0.573,0.468,0.495,0.468,0.496,17.746458021721253,0.463,0.38,0.343,0.31,0.354,0.323,0.0,0.0,1.0,0.0,1.0,0.0,599.0477214480328,23.00749747028572,92.02998988114288,1.296455745824044,1536.2714285714287,462.06569208212375,0.25,70.98583208688501,0.9375,1.0,1
