ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3734,724.461448783,6.72018,2120.48082069198,215.0,106.0,0.493023255813954,209.6158069559501,0.6066,300.488035441348,34721.6,161.5,1.14,17596021.147334844,3,312.566511627907,0.427,0.482,0.428,0.484,0.428,0.484,9.8627014915906,0.342,0.402,0.314,0.368,0.314,0.365,2.0,1.0,2.0,1.0,2.0,1.0,107.80387560794505,3.369588133874419,6.834541969650944,0.3416496115944992,633.9792452830189,315.5392892291546,0.4930232558139535,20.004536044263965,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3735,520.16899929,3.53962,1371.6732744292244,42.0,7.0,0.166666666666667,345.313611302407,0.9044,300.488035441348,20983.2,499.6,1.7958,17596021.147334844,3,842.7666666666667,0.535,0.482,0.535,0.484,0.535,0.484,32.65888748641011,0.509,0.402,0.468,0.368,0.468,0.365,0.0,0.0,0.0,0.0,0.0,0.0,146.95617023578802,12.384976173571427,74.30985704142857,0.3792222309692888,5056.6,387.5199242939141,0.1666666666666666,195.95332491846065,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3736,510.407548437,3.61178,1383.0045745221491,87.0,28.0,0.32183908045977,232.1068923974277,0.6336,300.488035441348,19921.3,229.0,1.9948,17596021.147334844,3,415.1471264367816,0.462,0.482,0.463,0.484,0.463,0.484,15.89660430485229,0.407,0.402,0.374,0.368,0.374,0.365,1.0,0.0,1.0,0.0,1.0,0.0,141.31745245751404,5.866753430310345,18.22884101560714,0.3690570210972398,1289.9214285714286,382.9149545437843,0.3218390804597701,49.393020518648186,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3737,664.273503632,9.31955,2984.06938384926,197.0,87.0,0.441624365482233,212.0098853898421,0.9455,300.488035441348,38017.2,193.0,3.0066,17596021.147334844,3,473.0736040609137,0.477,0.482,0.477,0.484,0.477,0.484,15.147560324107918,0.401,0.402,0.368,0.368,0.368,0.365,2.0,1.0,1.0,0.0,1.0,0.0,71.27742258285004,3.3719467189441628,7.635327627954023,0.2226065879122185,1071.212643678161,320.19457847742217,0.4416243654822335,34.299648090221375,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3738,698.567297089,2.48133,1127.1426217324192,86.0,28.0,0.325581395348837,205.0774680593656,0.4848,300.488035441348,13675.8,159.0,0.9933,17596021.147334844,3,288.52674418604647,0.417,0.482,0.417,0.484,0.417,0.484,13.106309555028131,0.38,0.402,0.35,0.368,0.35,0.365,2.0,1.0,2.0,1.0,2.0,1.0,281.5293802472868,8.122875547546512,24.948832038892856,0.6197683271131221,886.1892857142857,454.24938308585286,0.3255813953488372,40.25509363330069,0.0038910505836575876,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3739,1391.60684616,6.03098,2373.543293441079,138.0,41.0,0.297101449275362,299.74868931974095,0.5785,300.488035441348,29169.8,211.4,1.5609,17596021.147334844,3,437.027536231884,0.468,0.482,0.468,0.484,0.468,0.484,17.19958908290637,0.418,0.402,0.385,0.368,0.385,0.365,1.0,0.0,1.0,0.0,1.0,0.0,230.74307097022376,10.084107580869563,33.941630394146344,0.5862993314701657,1470.9707317073169,393.5584753126489,0.2971014492753623,57.89129984002632,0.022913256955810146,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3740,433.959172557,2.09867,1091.0267000334695,35.0,6.0,0.171428571428571,223.011574565711,0.6729,300.488035441348,12549.9,358.6,1.2735,17596021.147334844,3,599.6199999999999,0.502,0.482,0.502,0.484,0.502,0.484,31.1721914295277,0.502,0.402,0.462,0.368,0.462,0.365,0.0,0.0,0.0,0.0,0.0,0.0,206.77818454402075,12.398833501628571,72.3265287595,0.3977530270741196,3497.783333333333,519.865772147822,0.1714285714285714,181.8377833389116,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3741,420.059349899,10.0389,2747.5741454152308,138.0,67.0,0.485507246376812,443.3738119399477,0.9701,300.488035441348,15873.8,115.0,1.1822,17596021.147334844,3,727.4565217391305,0.521,0.482,0.521,0.484,0.521,0.484,19.909957575472685,0.439,0.402,0.403,0.368,0.403,0.365,0.0,0.0,0.0,0.0,0.0,0.0,41.84316507774757,3.043908332601449,6.26954253580597,0.1528837176605175,1498.3432835820895,273.69274974501496,0.4855072463768116,41.00856933455568,0.0009775171065493646,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3742,1220.26606447,6.31941,2481.5713330969616,102.0,22.0,0.215686274509804,470.0048071853813,0.6803,300.488035441348,31840.2,312.2,1.7979,17596021.147334844,3,619.5500000000001,0.505,0.482,0.505,0.484,0.505,0.484,24.32913071663688,0.467,0.402,0.429,0.368,0.429,0.365,0.0,0.0,0.0,0.0,0.0,0.0,193.09810005522667,11.963392788921569,55.4666392940909,0.4917312060286928,2872.459090909091,392.69035132978576,0.2156862745098039,112.7986969589528,0.03755868544600939,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3743,617.803759392,14.9481,2800.0944485611776,302.0,171.0,0.566225165562914,346.2196199319945,0.8035,300.488035441348,39897.3,132.1,1.9515,17596021.147334844,3,494.9701986754967,0.482,0.482,0.482,0.484,0.482,0.484,9.271835922388004,0.333,0.402,0.306,0.368,0.306,0.365,1.0,0.0,2.0,1.0,2.0,1.0,41.32991881188914,2.0457078125562917,3.612887481824561,0.2206367573456163,874.1578947368421,187.3210942234249,0.5662251655629139,16.374821336615074,0.0,0
