TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
6883,2736,1496,231,0.7155629483314274,0.9675288164183301,0.8226857108707346,0.6605129904397888,sudan,SSI (SpaceDef only),0.2,11346
6835,2441,1791,279,0.736847779215179,0.9607815574922688,0.8340451494813911,0.6919928581412195,sudan,SSI (SpaceDef only),0.3,11346
3076,2582,116,46,0.543655001767409,0.9852658552210122,0.7006833712984055,0.5141303330960509,ethiopia,SSI (any-pixel),0.1,5820
3074,2557,141,48,0.5459065885277926,0.9846252402306214,0.7023877527704786,0.5184430871279126,ethiopia,SSI (any-pixel),0.2,5820
3065,2495,203,57,0.5512589928057554,0.981742472773863,0.7060585118636259,0.5284916959866349,ethiopia,SSI (any-pixel),0.3,5820
3076,2582,116,46,0.543655001767409,0.9852658552210122,0.7006833712984055,0.5141303330960509,ethiopia,SSI (mean-SSI),0.1,5820
3074,2564,134,48,0.5452288045406173,0.9846252402306214,0.7018264840182649,0.5171458299003366,ethiopia,SSI (mean-SSI),0.2,5820
3066,2523,175,56,0.5485775630703167,0.9820627802690582,0.7039375502238548,0.5234628208239287,ethiopia,SSI (mean-SSI),0.3,5820
3017,2210,488,105,0.5771953319303615,0.9663677130044843,0.7227212839861061,0.5736212175103963,ethiopia,SSI (SpaceDef only),0.1,5820
3011,2052,646,111,0.594706695634999,0.964445868033312,0.7357361026267563,0.6019412438758109,ethiopia,SSI (SpaceDef only),0.2,5820
2987,1912,786,135,0.6097162686262503,0.9567584881486226,0.7447949133524498,0.6240426984849858,ethiopia,SSI (SpaceDef only),0.3,5820
24439,33138,2150,2273,0.42445768275526685,0.9149071578316861,0.5798858688559598,0.48791719260888317,nigeria,SSI (any-pixel),0.1,62000
24126,32147,3141,2586,0.42873136317594585,0.9031895777178796,0.5814544797252515,0.4961000030960742,nigeria,SSI (any-pixel),0.2,62000
23388,30253,5035,3324,0.43600976864711694,0.8755615453728661,0.5821313454382536,0.5091223052187387,nigeria,SSI (any-pixel),0.3,62000
24442,33182,2106,2270,0.4241635429682077,0.9150194669062593,0.5796338455701006,0.4873499057496611,nigeria,SSI (mean-SSI),0.1,62000
24139,32357,2931,2573,0.42726918719909374,0.9036762503743636,0.580208633785213,0.4933678236682518,nigeria,SSI (mean-SSI),0.2,62000
23428,30772,4516,3284,0.4322509225092251,0.8770589997005092,0.5790982796124184,0.5025172577282868,nigeria,SSI (mean-SSI),0.3,62000
13123,3962,31326,13589,0.7681006731050629,0.4912773285414795,0.5992647898257871,0.6895006003396583,nigeria,SSI (SpaceDef only),0.1,62000
12663,3140,32148,14049,0.8013035499588685,0.4740566037735849,0.5956956368340586,0.6925372567723059,nigeria,SSI (SpaceDef only),0.2,62000
12107,2471,32817,14605,0.8304980107010563,0.4532419886193471,0.5864373940421409,0.6916090922466493,nigeria,SSI (SpaceDef only),0.3,62000
3319,1192,44,44,0.7357570383506983,0.9869164436515017,0.8430276860553721,0.5112575745765598,niger,SSI (any-pixel),0.1,4599
3317,1176,60,46,0.7382595148008012,0.9863217365447517,0.8444501018329938,0.5174327129325701,niger,SSI (any-pixel),0.2,4599
3310,1143,93,53,0.7433191107118796,0.984240261671127,0.8469805527123849,0.5297414900588645,niger,SSI (any-pixel),0.3,4599
3319,1192,44,44,0.7357570383506983,0.9869164436515017,0.8430276860553721,0.5112575745765598,niger,SSI (mean-SSI),0.1,4599
3317,1179,57,46,0.7377669039145908,0.9863217365447517,0.8441277516223439,0.5162191206995603,niger,SSI (mean-SSI),0.2,4599
3311,1159,77,52,0.7407158836689038,0.9845376152245019,0.8453976764968723,0.5234176749261668,niger,SSI (mean-SSI),0.3,4599
3097,782,454,266,0.7984016499097706,0.9209039548022598,0.8552885943109637,0.6441089353299325,niger,SSI (SpaceDef only),0.1,4599
3083,687,549,280,0.8177718832891246,0.9167410050550104,0.8644329174260479,0.680457881168282,niger,SSI (SpaceDef only),0.2,4599
