Country,Threshold,TotalSegments,RF_Deprived_Seg,SSI_Deprived_Seg,SpaceDef_Deprived_Seg,AnyPixel_Deprived_Seg,RF_Deprived_Pop,SSI_Deprived_Pop,SpaceDef_Deprived_Pop,AnyPixel_Deprived_Pop,Total_Pop,Status
somalia,0.3,7648,6263,4980,4619,4953,6411910.872396017,5723114.253740694,5084667.803232138,5650339.84842113,8295293.609712728,OK
egypt,0.1,59492,26907,36526,24772,36366,27006556.300046273,52051636.82580356,30497213.08942477,51671220.96101294,76177735.74980159,OK
egypt,0.2,59492,26907,34001,23438,33478,27006556.300046273,45989191.65046624,27207065.45410601,44764774.803243205,76177735.74980159,OK
egypt,0.3,59492,26907,30942,22194,30061,27006556.300046273,39603074.72216349,24767728.110287435,37582547.74876408,76177735.74980159,OK
tanzania,0.1,9739,5545,7901,4724,7893,8968538.238176502,12817304.605705645,8602778.452757286,12793474.22767098,14983633.215272395,OK
tanzania,0.2,9739,5545,7626,4363,7600,8968538.238176502,12484725.039047442,7752524.354614542,12449455.618704986,14983633.215272395,OK
tanzania,0.3,9739,5545,7203,4038,7109,8968538.238176502,11899756.09658456,7157447.671063641,11682511.667063233,14983633.215272395,OK
zambia,0.1,6357,2859,2349,1032,2345,3070715.493735691,2737430.379299511,1126562.796345261,2714146.684630257,7472185.76578634,OK
zambia,0.2,6357,2859,2187,929,2168,3070715.493735691,2553582.9294303684,946198.198002966,2517334.8752716873,7472185.76578634,OK
zambia,0.3,6357,2859,2018,854,1956,3070715.493735691,2350873.424982537,837778.183723039,2263845.319514536,7472185.76578634,OK
central_african_republic,0.1,868,599,748,564,748,1158658.28063745,1464939.915729581,1193205.051772482,1464939.915729581,1601841.313697086,OK
central_african_republic,0.2,868,599,741,541,738,1158658.28063745,1459594.548600079,1128895.727946587,1457171.602683364,1601841.313697086,OK
central_african_republic,0.3,868,599,729,517,724,1158658.28063745,1447020.802529752,1075972.1509400238,1432626.776769955,1601841.313697086,OK
cameroon,0.1,10141,6094,8158,4023,8154,8374843.0480944235,13382695.824232766,6386409.167203043,13348357.063695058,15198621.01101642,OK
cameroon,0.2,10141,6094,7978,3793,7946,8374843.0480944235,12926290.155891245,5698132.965936916,12850015.220594626,15198621.01101642,OK
cameroon,0.3,10141,6094,7591,3570,7487,8374843.0480944235,12254056.706442632,5002193.751221339,11962821.82762372,15198621.01101642,OK
kenya,0.1,6162,3419,4811,3407,4803,5982457.600518698,9375722.122988556,6871372.038660615,9360861.754332663,10892339.03186487,OK
